Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,1,Graduate,No,3988,1576,163,120,1.0,Semiurban,1
Female,Yes,2,Graduate,No,7832,625,20,360,1.0,Rural,1
Female,No,0,Not Graduate,No,8993,404,155,360,1.0,Urban,1
Male,Yes,1,Graduate,No,6611,2341,52,360,1.0,Semiurban,1
Male,Yes,0,Graduate,No,3363,2514,82,360,1.0,Urban,1
Female,No,1,Graduate,No,3723,2224,91,360,1.0,Rural,1
Female,No,1,Graduate,No,5199,3318,100,360,1.0,Semiurban,1
Female,No,0,Graduate,No,5802,849,57,360,0.0,Urban,0
Female,Yes,0,Graduate,No,2530,3509,152,360,1.0,Semiurban,1
Male,Yes,0,Graduate,No,6807,418,55,240,1.0,Semiurban,1
Male,No,1,Graduate,No,5213,284,161,120,1.0,Semiurban,1
Male,No,0,Graduate,No,710,0,274,360,0.0,Urban,0
Female,Yes,1,Graduate,No,2677,965,60,360,1.0,Urban,1
Male,Yes,0,Not Graduate,No,3739,895,122,60,1.0,Urban,1
Male,Yes,1,Graduate,No,4817,2131,20,360,1.0,Urban,1
Male,No,1,Graduate,Yes,9723,1792,121,180,1.0,Semiurban,1
Male,Yes,0,Graduate,No,5595,68,178,120,1.0,Semiurban,1
Male,Yes,0,Graduate,No,2898,1028,183,240,1.0,Urban,1
Female,Yes,0,Graduate,No,5551,1054,144,360,1.0,Semiurban,1
Male,No,1,Graduate,No,4119,0,193,360,1.0,Semiurban,1
Female,No,2,Graduate,Yes,5811,322,292,180,1.0,Urban,1
Male,Yes,0,Graduate,No,6451,575,242,360,1.0,Urban,1
Male,No,1,Graduate,No,8023,3220,108,360,1.0,Urban,1
Female,No,0,Graduate,No,4939,1729,52,360,1.0,Semiurban,1
Female,Yes,0,Graduate,No,9097,2294,115,360,1.0,Rural,1
Male,Yes,2,Graduate,No,7270,0,83,240,1.0,Semiurban,1
Female,Yes,0,Graduate,No,3231,2933,167,360,1.0,Urban,1
Male,No,0,Graduate,No,10524,3061,69,180,1.0,Semiurban,1
Male,Yes,0,Graduate,Yes,5817,0,135,240,1.0,Urban,1
Male,No,0,Not Graduate,No,2912,653,190,360,1.0,Semiurban,1
Male,No,0,Graduate,No,9132,2094,133,360,1.0,Semiurban,1
Male,Yes,0,Not Graduate,No,10194,2273,83,240,1.0,Urban,1
Male,No,1,Graduate,No,4917,685,210,360,0.0,Semiurban,0
Male,Yes,0,Graduate,No,3740,1133,27,60,1.0,Semiurban,1
Male,Yes,0,Graduate,No,4569,783,120,120,1.0,Semiurban,1
Male,No,0,Not Graduate,Yes,6786,1632,137,360,1.0,Urban,1
Female,No,0,Graduate,No,8194,2936,140,180,1.0,Rural,1
Male,Yes,1,Graduate,No,6426,574,150,360,1.0,Semiurban,1
Male,No,3+,Graduate,No,5254,2700,176,360,1.0,Semiurban,1
Female,No,0,Graduate,No,8745,561,137,120,1.0,Urban,1
Male,Yes,2,Graduate,No,4217,482,117,180,1.0,Semiurban,1
Male,No,0,Not Graduate,No,7577,2482,115,360,1.0,Urban,1
Male,Yes,0,Not Graduate,No,4279,2606,103,360,1.0,Semiurban,1
Male,Yes,0,Graduate,No,6077,2521,187,360,1.0,Urban,1
Female,Yes,0,Not Graduate,No,4716,0,101,360,1.0,Urban,1
Female,No,0,Graduate,No,4860,940,190,360,1.0,Rural,1
Male,No,1,Graduate,No,4056,2487,141,360,0.0,Rural,0
Female,Yes,0,Graduate,No,8362,1549,108,360,1.0,Rural,1
Female,Yes,2,Graduate,No,3167,211,177,180,1.0,Rural,1
Male,No,0,Not Graduate,No,3149,2049,96,360,1.0,Urban,1
Female,Yes,0,Graduate,No,10302,642,178,360,1.0,Urban,1
Male,No,1,Graduate,No,7444,3653,152,240,1.0,Semiurban,1
Female,No,0,Graduate,No,500,3353,104,120,1.0,Urban,1
Female,Yes,0,Graduate,No,3586,2224,171,180,1.0,Rural,1
Male,No,1,Graduate,Yes,500,3133,172,360,1.0,Rural,1
Male,Yes,2,Not Graduate,No,2623,1577,209,360,1.0,Semiurban,1
Male,No,1,Not Graduate,No,500,2418,197,360,1.0,Semiurban,1
Male,No,1,Graduate,Yes,4657,3273,169,360,1.0,Urban,1
Female,No,1,Graduate,No,2145,1794,72,360,1.0,Semiurban,1
Female,Yes,2,Graduate,No,5149,1193,286,360,1.0,Semiurban,1
Male,No,0,Graduate,No,937,0,55,360,1.0,Rural,1
Male,Yes,0,Graduate,No,5207,1400,196,360,1.0,Semiurban,1
Male,Yes,0,Graduate,No,3962,2488,165,360,1.0,Rural,1
Male,Yes,0,Graduate,No,8754,2634,69,360,1.0,Rural,1
Male,Yes,1,Graduate,No,8528,2105,132,360,1.0,Urban,1
Male,Yes,1,Graduate,No,6963,850,135,360,1.0,Semiurban,1
Female,No,0,Graduate,No,4183,0,218,360,1.0,Urban,1
Male,No,0,Graduate,Yes,9963,905,97,360,1.0,Urban,1
Male,Yes,1,Graduate,No,1117,1134,124,360,1.0,Urban,1
Female,No,0,Not Graduate,No,1491,1124,20,360,1.0,Urban,1
Male,Yes,1,Graduate,No,4790,2242,244,360,1.0,Urban,1
Female,No,0,Not Graduate,No,10635,3882,75,240,1.0,Rural,1
Female,No,0,Graduate,No,4494,1648,159,360,0.0,Urban,0
Male,Yes,0,Graduate,No,4541,1239,133,360,1.0,Semiurban,1
Male,No,0,Graduate,No,1395,1188,134,60,0.0,Urban,0
Male,Yes,2,Not Graduate,No,7364,1649,188,360,1.0,Rural,1
Male,Yes,2,Graduate,No,7382,506,240,360,0.0,Urban,0
Male,No,1,Graduate,Yes,6972,1644,155,360,1.0,Urban,1
Male,Yes,0,Graduate,No,3426,2040,179,120,0.0,Urban,0
Male,Yes,0,Graduate,No,3233,1751,159,360,1.0,Rural,1
Male,Yes,1,Graduate,No,1767,2049,201,360,1.0,Semiurban,1
Male,No,1,Not Graduate,No,5209,2020,112,360,1.0,Urban,1
Female,Yes,0,Graduate,No,2298,0,204,360,0.0,Urban,0
Male,Yes,0,Graduate,No,2056,2264,206,360,1.0,Urban,1
Male,No,1,Graduate,Yes,3940,694,204,120,1.0,Semiurban,1
Male,No,0,Graduate,No,3777,184,100,360,1.0,Semiurban,1
Female,Yes,0,Graduate,No,3655,174,129,360,1.0,Urban,1
Male,Yes,0,Graduate,No,6166,2020,154,360,1.0,Urban,1
Male,Yes,0,Graduate,No,5197,1232,57,360,1.0,Semiurban,1
Female,Yes,2,Graduate,No,4279,0,235,240,0.0,Urban,0
Male,Yes,3+,Graduate,No,5457,2073,139,360,0.0,Rural,0
Female,No,0,Not Graduate,No,2521,0,157,360,1.0,Urban,1
Male,No,0,Graduate,No,5263,1667,105,360,1.0,Rural,1
Male,No,0,Graduate,No,5376,1786,60,360,1.0,Semiurban,1
Male,Yes,0,Graduate,No,1242,2562,103,360,1.0,Semiurban,1
Male,No,0,Graduate,No,7489,3638,153,240,1.0,Semiurban,1
Male,Yes,1,Graduate,No,2796,0,180,360,1.0,Rural,1
Female,No,0,Graduate,No,5225,1437,149,240,1.0,Rural,1
Male,No,0,Graduate,Yes,7911,1168,160,120,0.0,Urban,0
Male,Yes,0,Not Graduate,No,7314,2020,119,240,0.0,Semiurban,0
Male,No,0,Graduate,No,5085,1758,169,360,1.0,Semiurban,1
Male,Yes,0,Graduate,No,4093,1076,228,360,0.0,Rural,0
Male,No,0,Graduate,No,7368,970,182,60,1.0,Urban,1
Male,Yes,3+,Graduate,No,6686,160,188,120,1.0,Rural,1
Male,Yes,0,Graduate,No,3454,2685,157,240,1.0,Semiurban,1
Male,No,0,Not Graduate,No,3012,2051,49,360,1.0,Rural,1
Male,Yes,2,Graduate,No,500,2601,77,360,1.0,Urban,1
Male,No,3+,Graduate,No,5385,1127,167,120,1.0,Urban,1
Male,Yes,0,Graduate,No,4793,711,139,360,1.0,Urban,1
Male,No,2,Graduate,No,7840,206,166,360,1.0,Semiurban,1
Female,No,0,Graduate,Yes,5897,1930,240,360,1.0,Semiurban,1
Male,Yes,0,Graduate,Yes,8335,252,183,360,1.0,Semiurban,1
Male,Yes,0,Graduate,Yes,3256,3718,215,360,1.0,Semiurban,1
Male,Yes,1,Graduate,No,7845,0,145,360,1.0,Rural,1
Female,Yes,1,Graduate,Yes,3677,1828,91,360,1.0,Rural,1
Female,Yes,0,Not Graduate,No,6943,3380,136,360,1.0,Rural,1
Male,No,0,Graduate,No,1353,2218,91,360,0.0,Semiurban,0
Male,No,1,Not Graduate,No,5587,1710,233,360,1.0,Rural,1
Female,No,0,Graduate,No,500,337,187,180,1.0,Semiurban,1
Male,No,0,Graduate,No,4332,0,171,360,1.0,Urban,1
Male,No,1,Graduate,No,6100,2424,214,360,1.0,Urban,1
Male,No,1,Graduate,No,3697,3307,20,120,1.0,Semiurban,1
Male,Yes,1,Graduate,No,2373,973,175,180,1.0,Semiurban,1
Female,No,2,Graduate,No,7115,133,61,360,1.0,Rural,1
Female,No,0,Graduate,No,4741,0,139,360,1.0,Urban,1
Male,Yes,1,Not Graduate,No,3776,323,121,360,1.0,Semiurban,1
Male,Yes,1,Graduate,No,5104,1363,179,360,0.0,Semiurban,0
Male,Yes,0,Graduate,No,11591,3418,153,240,1.0,Rural,1
Female,Yes,0,Graduate,No,7883,2307,220,60,0.0,Rural,0
Female,No,0,Not Graduate,No,7906,1866,103,180,1.0,Rural,1
Female,Yes,0,Graduate,No,6088,1019,182,360,1.0,Rural,1
Female,Yes,1,Graduate,Yes,5416,800,149,360,1.0,Semiurban,1
Male,No,2,Graduate,No,500,3186,41,60,1.0,Urban,1
Male,Yes,0,Graduate,No,3302,1740,84,360,1.0,Urban,1
Male,Yes,0,Not Graduate,No,3798,0,131,360,1.0,Urban,1
Female,Yes,3+,Graduate,No,500,691,206,120,1.0,Urban,1
Male,No,0,Graduate,No,2106,470,167,360,1.0,Urban,1
Male,No,0,Not Graduate,No,500,844,69,360,1.0,Urban,1
Male,Yes,0,Graduate,No,4904,2175,131,180,1.0,Urban,1
Male,No,0,Graduate,Yes,7046,1371,261,360,0.0,Urban,0
Male,Yes,0,Graduate,No,7766,1407,146,360,0.0,Urban,0
Male,No,0,Graduate,No,6036,3076,120,360,1.0,Urban,1
Male,No,0,Graduate,No,2591,664,169,360,1.0,Rural,1
Male,No,0,Graduate,No,500,3737,185,360,1.0,Rural,1
Male,Yes,0,Graduate,Yes,607,694,112,360,1.0,Urban,1
Male,No,0,Graduate,No,1827,1607,170,360,0.0,Rural,0
Female,No,1,Graduate,No,2777,1162,120,240,1.0,Semiurban,1
Male,Yes,2,Not Graduate,No,4600,1648,183,360,1.0,Semiurban,1
Male,No,0,Graduate,No,2464,2033,150,240,1.0,Urban,1
Female,Yes,0,Graduate,No,5847,2020,168,360,1.0,Semiurban,1
Male,No,1,Graduate,No,4419,596,94,360,0.0,Urban,0
Female,Yes,0,Graduate,No,5026,152,90,360,1.0,Urban,1
Male,No,0,Graduate,No,7850,4503,196,360,1.0,Urban,1
Male,Yes,1,Graduate,No,2049,919,135,120,1.0,Urban,1
Male,Yes,2,Graduate,Yes,6046,2339,157,360,1.0,Rural,1
Male,Yes,2,Graduate,No,4965,0,121,360,1.0,Semiurban,1
Male,Yes,0,Graduate,No,4166,1164,193,360,0.0,Semiurban,0
Male,Yes,1,Graduate,No,7213,1347,103,360,1.0,Urban,1
Female,Yes,0,Graduate,No,7197,2067,131,360,1.0,Urban,1
Male,Yes,1,Not Graduate,No,2633,0,187,360,1.0,Urban,1
Female,Yes,0,Graduate,No,4544,1699,210,360,1.0,Urban,1
Male,Yes,0,Graduate,No,5703,120,108,360,0.0,Semiurban,0
Female,No,1,Graduate,No,4317,1889,257,360,1.0,Semiurban,1
Male,Yes,0,Not Graduate,No,6462,256,158,360,1.0,Semiurban,1
Male,No,0,Graduate,No,5702,473,77,360,1.0,Semiurban,1
Male,No,2,Graduate,No,9581,1171,162,360,1.0,Rural,1
Male,No,0,Graduate,Yes,1174,237,117,240,1.0,Urban,1
Female,Yes,0,Not Graduate,No,4693,929,166,120,0.0,Rural,0
Male,No,0,Graduate,No,2728,67,137,180,0.0,Rural,0
Male,Yes,1,Graduate,No,6510,0,144,360,1.0,Semiurban,1
Male,Yes,1,Not Graduate,No,957,2721,85,60,1.0,Rural,1
Male,Yes,0,Not Graduate,No,5865,0,199,360,0.0,Urban,0
Female,No,1,Not Graduate,No,3424,1285,70,60,1.0,Semiurban,1
Female,Yes,0,Graduate,No,3164,2403,73,360,1.0,Semiurban,1
Female,Yes,1,Graduate,Yes,1383,762,162,360,1.0,Rural,1
Male,No,0,Graduate,No,3837,509,236,360,1.0,Semiurban,1
Male,No,0,Graduate,No,7711,1771,118,360,1.0,Urban,1
Female,Yes,2,Graduate,No,4937,2841,182,240,1.0,Rural,1
Male,Yes,0,Graduate,No,6569,96,204,120,1.0,Urban,1
Female,No,0,Graduate,No,9161,1319,188,60,1.0,Urban,1
Female,Yes,0,Graduate,No,5659,0,121,360,1.0,Rural,1
Female,Yes,3+,Graduate,No,3603,1028,74,360,1.0,Urban,1
Male,Yes,0,Graduate,No,6168,1541,20,360,1.0,Semiurban,1
Male,No,0,Graduate,No,3639,474,124,60,1.0,Semiurban,1
Female,No,0,Graduate,Yes,3738,951,210,360,1.0,Urban,1
Male,No,0,Graduate,No,1200,0,72,120,1.0,Semiurban,1
Male,No,0,Graduate,No,7315,1592,182,360,0.0,Rural,0
Male,Yes,1,Graduate,No,4034,2766,82,360,1.0,Urban,1
Female,Yes,3+,Graduate,No,5455,183,146,180,1.0,Semiurban,1
Male,Yes,0,Graduate,No,2410,752,182,360,0.0,Rural,0
Male,Yes,0,Not Graduate,No,6089,2103,100,360,1.0,Rural,1
Male,Yes,0,Graduate,No,3095,2954,150,360,0.0,Semiurban,0
Male,No,0,Graduate,Yes,4645,0,115,240,1.0,Rural,1
Female,No,2,Not Graduate,No,7194,1297,182,360,1.0,Semiurban,1
Male,No,0,Graduate,No,6976,1839,154,360,1.0,Rural,1
Male,Yes,0,Not Graduate,Yes,4944,1377,143,360,1.0,Urban,1
Female,No,1,Not Graduate,No,579,0,233,360,1.0,Rural,0
Female,No,0,Graduate,Yes,12482,2101,179,360,1.0,Urban,1
Male,Yes,1,Not Graduate,No,9364,3323,98,360,1.0,Rural,1
Female,No,0,Graduate,No,6806,1639,134,60,1.0,Semiurban,1
Male,Yes,2,Graduate,No,3116,262,135,60,1.0,Rural,1
Male,Yes,2,Graduate,No,4716,884,144,360,1.0,Urban,1
Female,Yes,1,Graduate,No,3641,3623,291,120,1.0,Rural,1
Female,Yes,3+,Not Graduate,Yes,8159,2591,162,360,1.0,Urban,1
Female,Yes,0,Graduate,Yes,5656,2268,20,360,1.0,Semiurban,1
Female,No,0,Graduate,No,3039,1927,107,360,1.0,Semiurban,1
Male,No,1,Graduate,No,3823,706,24,360,1.0,Semiurban,1
Male,No,0,Graduate,No,7802,1259,120,360,1.0,Urban,1
Female,No,0,Graduate,No,9000,1406,20,360,0.0,Rural,1
Male,Yes,0,Graduate,No,8820,2159,87,240,1.0,Rural,1
Female,No,0,Not Graduate,No,6892,3310,48,360,1.0,Semiurban,1
Female,Yes,0,Graduate,Yes,4368,2842,163,360,1.0,Rural,1
Female,Yes,0,Not Graduate,No,500,0,140,360,1.0,Urban,1
Male,Yes,1,Graduate,No,5742,1768,158,360,1.0,Rural,1
Male,Yes,0,Graduate,No,4995,2384,133,360,0.0,Semiurban,0
Male,Yes,0,Graduate,No,5349,2242,56,360,1.0,Semiurban,1
Male,Yes,0,Graduate,No,5134,744,170,240,1.0,Semiurban,1
Male,Yes,0,Graduate,No,1684,4996,255,240,0.0,Urban,0
Male,No,2,Not Graduate,No,6393,0,164,360,1.0,Semiurban,1
Male,Yes,0,Graduate,Yes,6580,200,114,360,1.0,Urban,1
Male,Yes,0,Not Graduate,Yes,6705,1780,54,180,1.0,Semiurban,1
Male,Yes,2,Graduate,No,7366,4040,85,360,1.0,Semiurban,1
Male,No,0,Graduate,No,6510,496,167,360,1.0,Semiurban,1
Male,Yes,0,Graduate,No,3974,1181,204,360,1.0,Semiurban,1
Female,Yes,0,Not Graduate,Yes,4822,2792,155,360,1.0,Urban,1
Male,Yes,2,Graduate,No,5227,1478,187,180,1.0,Urban,1
Male,Yes,0,Not Graduate,No,5269,1098,182,360,0.0,Urban,0
Male,Yes,0,Not Graduate,No,7495,2178,170,360,1.0,Urban,1
Female,Yes,0,Graduate,No,6609,1827,100,360,1.0,Rural,1
Male,Yes,0,Graduate,No,10193,2736,150,360,1.0,Urban,1
Male,Yes,0,Graduate,Yes,10516,3049,89,180,1.0,Semiurban,1
Male,Yes,0,Graduate,No,5199,1868,141,360,1.0,Rural,1
Male,No,0,Graduate,No,500,1850,159,360,1.0,Semiurban,1
Male,Yes,2,Graduate,No,8092,1756,240,180,1.0,Semiurban,1
Male,Yes,1,Graduate,No,3649,2086,61,360,1.0,Urban,1
Male,Yes,0,Graduate,No,2996,1566,168,360,1.0,Urban,1
Female,No,2,Graduate,Yes,4003,1499,228,360,0.0,Urban,0
Female,Yes,0,Graduate,No,3883,2935,185,360,1.0,Semiurban,1
Male,Yes,0,Graduate,No,6530,3319,189,360,1.0,Rural,1
Male,No,1,Graduate,No,1101,0,175,360,1.0,Urban,1
Female,Yes,2,Graduate,No,2305,1512,217,360,1.0,Semiurban,1
Male,Yes,1,Not Graduate,No,5857,673,74,180,1.0,Urban,1
Male,Yes,0,Graduate,No,6557,1126,56,360,1.0,Semiurban,1
Male,No,2,Graduate,No,6603,1983,139,360,1.0,Rural,1
Male,Yes,0,Graduate,Yes,3032,2303,20,360,1.0,Semiurban,1
Female,No,2,Graduate,No,2554,1365,213,240,1.0,Semiurban,1
Female,No,3+,Graduate,No,3733,0,213,360,0.0,Semiurban,0
Male,Yes,0,Not Graduate,No,5599,341,113,180,0.0,Rural,0
Male,Yes,1,Graduate,No,8713,2575,117,360,1.0,Urban,1
Male,Yes,0,Graduate,No,500,0,135,180,1.0,Semiurban,1
Male,Yes,0,Graduate,No,4448,2924,143,360,1.0,Rural,1
Male,Yes,0,Graduate,No,1668,2125,147,360,1.0,Urban,1
Male,No,0,Graduate,No,869,3079,173,360,1.0,Semiurban,1
Female,No,2,Graduate,No,7417,1261,129,240,1.0,Urban,1
Male,No,1,Graduate,No,6361,0,196,360,0.0,Urban,0
Male,Yes,0,Graduate,No,6123,2016,166,360,1.0,Semiurban,1
Female,No,2,Graduate,Yes,7302,3029,103,360,0.0,Rural,0
Female,No,3+,Graduate,No,3800,2609,220,180,0.0,Urban,0
Male,No,0,Not Graduate,No,3918,704,58,240,1.0,Semiurban,1
Male,Yes,3+,Graduate,No,10464,1604,134,360,1.0,Semiurban,1
Male,No,0,Graduate,No,4383,860,198,360,1.0,Urban,1
Male,Yes,2,Graduate,No,6837,516,96,360,1.0,Semiurban,1
Male,Yes,0,Graduate,No,5015,2646,158,240,1.0,Semiurban,1
Female,Yes,0,Graduate,No,500,62,172,240,1.0,Urban,1
Male,No,0,Graduate,No,500,427,88,360,1.0,Rural,1
Male,No,1,Graduate,No,3552,175,135,360,1.0,Urban,1
Male,Yes,0,Graduate,No,7640,0,130,60,1.0,Semiurban,1
Male,Yes,0,Graduate,No,6970,1675,106,180,1.0,Semiurban,1
Female,Yes,0,Graduate,No,7285,2893,278,360,1.0,Urban,1
Female,Yes,2,Graduate,No,2532,1278,94,360,1.0,Semiurban,1
Male,Yes,0,Graduate,No,9039,0,200,360,0.0,Semiurban,0
Male,Yes,0,Graduate,No,2587,2507,116,360,1.0,Urban,1
Male,No,0,Graduate,No,5532,3522,74,360,1.0,Semiurban,1
Male,Yes,0,Graduate,No,4974,724,146,360,1.0,Urban,1
Male,Yes,2,Graduate,No,4565,925,178,360,1.0,Semiurban,1
Male,Yes,2,Not Graduate,No,8346,2118,195,360,1.0,Rural,1
Male,No,0,Graduate,No,3237,3446,233,360,1.0,Rural,1
Male,No,0,Graduate,No,1625,876,316,360,1.0,Semiurban,0
Male,No,1,Graduate,No,5049,0,155,240,1.0,Rural,1
Male,Yes,0,Not Graduate,Yes,4000,2257,100,360,0.0,Semiurban,0
Male,Yes,2,Graduate,No,13443,2458,167,360,1.0,Rural,1
Male,Yes,1,Graduate,No,6691,1507,124,360,1.0,Semiurban,1
Male,No,1,Graduate,No,3976,830,195,180,1.0,Rural,1
Female,No,0,Graduate,Yes,2359,2693,62,240,0.0,Urban,0
Male,No,0,Graduate,No,500,2133,282,360,1.0,Semiurban,0
Male,No,3+,Graduate,No,2436,577,191,180,0.0,Semiurban,0
Male,No,0,Not Graduate,No,5287,1558,38,360,1.0,Semiurban,1
Male,Yes,1,Not Graduate,No,8568,0,97,60,1.0,Semiurban,1
Male,No,0,Graduate,No,7804,2323,188,360,1.0,Urban,1
Male,Yes,1,Graduate,No,5572,1185,210,360,1.0,Rural,1
Female,Yes,0,Not Graduate,Yes,4192,977,63,360,1.0,Urban,1
Male,Yes,0,Graduate,No,5672,1460,182,360,0.0,Rural,0
Male,Yes,0,Graduate,No,3703,1548,23,360,1.0,Semiurban,1
Male,Yes,1,Graduate,No,9295,2573,134,240,1.0,Semiurban,1
Male,Yes,1,Graduate,No,4527,2209,206,240,1.0,Rural,1
Male,Yes,0,Graduate,No,4784,1312,106,360,1.0,Semiurban,1
Female,Yes,0,Graduate,No,500,2416,49,360,1.0,Semiurban,1
Male,Yes,1,Graduate,No,4511,1980,148,360,1.0,Semiurban,1
Female,Yes,0,Graduate,No,7091,988,103,360,1.0,Urban,1
Female,Yes,0,Graduate,No,2330,1350,177,360,1.0,Rural,1
Male,Yes,0,Graduate,No,3123,1322,86,360,1.0,Semiurban,1
Male,No,0,Not Graduate,Yes,6981,2106,93,120,0.0,Semiurban,0
Male,No,0,Graduate,No,1308,1059,20,360,1.0,Rural,1
Male,No,0,Graduate,No,7644,1031,150,360,0.0,Semiurban,0
Male,No,0,Not Graduate,No,3669,3862,130,360,1.0,Urban,1
Male,Yes,0,Not Graduate,No,4028,2627,68,360,1.0,Urban,1
Male,No,0,Graduate,No,2190,587,151,360,1.0,Semiurban,1
Male,Yes,0,Graduate,No,5945,2185,201,240,1.0,Urban,1
Female,Yes,0,Graduate,No,11149,1642,127,360,0.0,Urban,0
Male,No,2,Not Graduate,No,6953,1969,156,360,1.0,Rural,1
Female,Yes,0,Not Graduate,No,2839,1664,156,120,1.0,Rural,1
Male,No,0,Not Graduate,No,7839,2927,67,360,1.0,Rural,1
Male,No,0,Graduate,No,4208,1914,263,120,1.0,Urban,1
Male,No,0,Graduate,No,8436,1425,111,360,0.0,Semiurban,0
